gene_name,number_of_reads_mapped
dnaB,37
rpsB,36
nusA,32
pta,30
hemN_2_hemN_3,29
menA,28
htpX,28
cfa,28
group_7366,27
tsaE,26
ribF,26
group_4080,26
glpK_2,26
fabA,26
uidA:CP146653.1:2405030-2406841,25
udp,25
rimP,25
pldB_pldB_2,25
dxr,25
truA,24
suhB,24
rpoA,24
cysJ_2,24
yniC_2,23
nagB_1,23
nagA_1,23
mreD,23
group_8044,23
dksA,23
usg_usg_1,22
sfsA,22
satP,22
galS,22
galE,22
zapD,21
yehT_yehT_1,21
uspA,21
trxA_1,21
tatD_tatD_2,21
tatC,21
tatB,21
rpsT,21
rpsM,21
mog_mog_2_mog_1,21
ibpA,21
hslV,21
group_7046,21
group_338,21
glnK,21
gapA,21
fur,21
yjaB_2,20
rpsG,20
purC,20
nadK_nadK_2,20
iclR,20
hemD,20
group_8038,20
group_519,20
group_1536,20
group_1239,20
gntK,20
folB,20
cysC,20
cpxA_cpxA_1,20
cnu,20
alaA,20
trxA_2,19
tatA,19
rsmA,19
rplJ,19
rfaH,19
plsY,19
mtnN,19
hfq,19
grpE_grpE_1_grpE_2,19
group_876,19
group_1997,19
group_1369,19
engB,19
yqjE,18
ycdY,18
sucD,18
rpsP,18
rpsK,18
pncC_1,18
nei,18
kdsB,18
hisM,18
glpR_4_glpR_5_glpR_1,18
frr,18
fldA,18
dps,18
corC_1,18
cetB,18
ccmC,18
adk,18
ypeA_ypeA_1,17
ygbE,17
ygaZ,17
ybfF,17
ubiX,17
thiS,17
rpsL,17
rplN,17
rplE,17
ribC,17
pyrF,17
plaP,17
ompX_1,17
manZ_1_manZ_2,17
iscU,17
group_7810,17
group_755,17
group_4140,17
group_2865,17
dnaQ,17
coaE,17
clpS,17
cidA,17
aroK,17
apaG,17
uspB,16
rsmD_rsmD_2,16
rpsO,16
rpsF,16
rpsE,16
rplX,16
rnhA_rnhA_2_rnhA_1,16
rmf,16
queD,16
nudE,16
nfuA,16
mukE,16
mug,16
mdh_2,16
mdaB,16
manX_2,16
leuD,16
ibpB,16
grxD,16
group_4683,16
glcC,16
exbB_1_exbB_2,16
erpA,16
dtd,16
dsbE,16
bamD_bamD_1,16
ygaV,15
yfcE,15
ybgI,15
ybaB,15
uspD_uspD_1,15
sspB,15
rplR,15
rplO,15
rplM,15
rplL,15
rplK,15
rplF,15
rplA,15
recX,15
ompA,15
nsrR,15
msrB,15
ispG_ispG_2,15
ispF,15
hflC,15
group_8049,15
group_747,15
group_678,15
group_568,15
group_4979,15
group_334,15
group_125,15
fucU,15
dus,15
diaA,15
cpxR,15
artP,15
arfA,15
zapA,14
yjcH,14
yhdT,14
ygdR_1,14
yccF,14
tusB,14
trpC_trpC_1,14
seqA,14
rpsU,14
rpe_2,14
rbfA,14
pyrI,14
murF_murF_1,14
msrC,14
moaC,14
manY,14
lexA_4,14
iscR,14
iscA_1,14
ilvE,14
group_6151,14
group_4736,14
group_3581,14
group_2461,14
group_2400,14
group_1521,14
group_145,14
gph,14
ftsL,14
ftsB,14
dsrF,14
ccmD,14
ybaN,13
slyX,13
rpsN,13
rpsI,13
rpsD,13
rpsC,13
rpmJ,13
rpmE,13
rplC,13
pal,13
moaE,13
moaB,13
menI,13
lolD_1,13
ilvM,13
ilvH,13
group_800,13
group_4003,13
group_3296,13
group_1656,13
group_154,13
group_1184,13
apt,13
yhcB,12
udk_udk_1,12
tusD,12
rpsR,12
rpsJ,12
rpmD,12
priB,12
osmB,12
nrdH,12
mntS,12
minE,12
luxS,12
lolB,12
group_744,12
group_7173,12
group_2620,12
group_1743,12
feoC,12
acrZ,12
yciK,11
tusE,11
rsmE,11
rpsQ,11
rplD,11
pdhR_2,11
napB,11
iscA_2,11
group_4687,11
group_4205,11
group_4093,11
group_3713,11
fdhD,11
csrA,11
ybjM,10
sdhC,10
rpmC,10
rplP,10
nuoH,10
nuoB,10
napC,10
ihfB,10
group_78,10
group_3752,10
group_3589,10
group_2164,10
gcvH,10
folE_folE_2,10
flgM,10
fadR,10
dgkA,10
can,10
bolA,10
argR,10
ygjH,9
ybgC,9
